views,comments,AFRAID,AMUSED,ANGRY,ANNOYED,DONT_CARE,HAPPY,INSPIRED,SAD
9260764,556,0.094786579,0.125805779,0.112842254,0.131351009,0.132109648,0.102242769,0.193499988,0.107361974
1131864,117,0.096144697,0.116424155,0.118399603,0.130736721,0.133335274,0.102562597,0.192833559,0.109563393
1096862,184,0.106462359,0.122741609,0.12107412,0.131912484,0.124621077,0.101958174,0.185727155,0.105503022
2885999,507,0.10238811,0.12837705,0.112597138,0.12836082,0.127649338,0.104077339,0.189580381,0.106969825
2863214,95,0.097379148,0.115092768,0.132030903,0.136067549,0.130054384,0.102266771,0.176800542,0.110307935
7023562,355,0.093305362,0.12689407,0.113585224,0.128669899,0.132259702,0.117142835,0.190098806,0.098044102
14689301,970,0.093973221,0.122661027,0.114270187,0.134583212,0.132398371,0.103272504,0.193978554,0.104862924
10000702,991,0.093553415,0.124343109,0.118023237,0.136842589,0.133122357,0.106290976,0.182235375,0.105588943
1030267,213,0.125066123,0.116047825,0.117358697,0.133064931,0.117347842,0.097389463,0.177136571,0.116588546
3277740,612,0.103155827,0.118089916,0.119629069,0.134782412,0.127532174,0.104212457,0.187453638,0.105144506
503517,74,0.105310192,0.10849103,0.129497488,0.135868113,0.123715108,0.105345507,0.180829262,0.1109433
705389,58,0.099943693,0.110922137,0.119843997,0.13347228,0.129087445,0.107941065,0.187157026,0.111632358
580891,43,0.097054377,0.114504232,0.123366873,0.139223456,0.131706001,0.108018547,0.182535212,0.103591302
809226,67,0.108665238,0.109545772,0.127135184,0.139165968,0.121257802,0.106013199,0.18277853,0.105438307
2028451,186,0.100793845,0.118017171,0.115828234,0.132115935,0.133788096,0.109177769,0.181823655,0.108455295
745231,57,0.111319429,0.118430824,0.114825688,0.128449655,0.128467975,0.103403835,0.178088931,0.117013663
718649,112,0.098992774,0.113547974,0.116819565,0.133287396,0.130299931,0.106815771,0.19368748,0.10654911
975107,58,0.100631242,0.112029163,0.11895251,0.131690055,0.129706615,0.10764347,0.188305362,0.111041582
382996,33,0.123988545,0.119651074,0.120702225,0.127137012,0.121973883,0.101943248,0.170932012,0.113672001
1053758,105,0.104823285,0.118749504,0.121047585,0.136082148,0.126471912,0.101564687,0.178216701,0.113044179
5364639,494,0.093670638,0.127296467,0.113716442,0.132749852,0.134356332,0.107566206,0.189608999,0.101035064
2434344,233,0.109473951,0.125267277,0.113606827,0.132269109,0.126430179,0.10870943,0.184679622,0.099563604
1536873,149,0.096879658,0.12482208,0.117440254,0.132621094,0.127701804,0.106293523,0.19297671,0.101264876
904215,52,0.098078898,0.110460772,0.131391887,0.133562581,0.127017172,0.103839048,0.18091989,0.114729752
10841210,578,0.086889376,0.112007409,0.116811931,0.139606203,0.134799057,0.105693649,0.201784983,0.102407391
1813665,95,0.093463212,0.129208963,0.115427175,0.134990588,0.134057534,0.104952893,0.186198273,0.101701362
2299265,199,0.13925553,0.111648987,0.109591754,0.123794703,0.119360093,0.103799223,0.173765325,0.118784385
673036,85,0.104879591,0.10756286,0.130446552,0.131520219,0.122054036,0.103303162,0.178598498,0.121635082
1391142,499,0.103528397,0.109679147,0.121289775,0.137500036,0.126353985,0.107303868,0.188676082,0.105668709
2532851,371,0.100707511,0.119632977,0.118522921,0.127602115,0.126534356,0.101522825,0.191562775,0.113914519
882034,59,0.102777023,0.112539744,0.120548286,0.128332838,0.12575995,0.102838145,0.187855162,0.119348852
2121177,203,0.111767381,0.127543299,0.109710235,0.126728632,0.126433085,0.103772019,0.189483587,0.104561763
1090180,130,0.099052506,0.115610799,0.120479387,0.139391851,0.126862042,0.103948231,0.193347191,0.101307994
684519,47,0.126852495,0.11102255,0.122087452,0.12517682,0.1168236,0.101347253,0.176286359,0.120403471
1409327,91,0.094353122,0.117623628,0.114837867,0.133019912,0.132791366,0.110763881,0.198282575,0.098327649
978825,111,0.092965767,0.114026282,0.126310575,0.135868893,0.130838065,0.101571262,0.184324507,0.114094647
442553,28,0.094932199,0.126239974,0.111131147,0.132878777,0.130078119,0.110162586,0.196783176,0.097794022
691814,64,0.100483903,0.120544543,0.120592603,0.13203056,0.128657769,0.109217583,0.185836808,0.102636231
2441805,226,0.095131232,0.118866915,0.112613264,0.13336128,0.133087786,0.105975725,0.193337388,0.10762641
849859,97,0.118029157,0.104149366,0.125727079,0.13130189,0.12134172,0.104569908,0.179523635,0.115357245
1335732,89,0.120680939,0.118585224,0.119845609,0.124351082,0.116166761,0.101722633,0.186281099,0.112366654
1262674,107,0.117620144,0.101616067,0.137597053,0.131013388,0.116007464,0.099135016,0.173462627,0.123548242
1663001,161,0.104125742,0.119303886,0.120045898,0.12884498,0.124060126,0.102297586,0.191077575,0.110244207
